comment,label
等了十几天终于送到了，买的首发版，实体比图片看着更上档次，很轻薄，日常办公做够用了！性价比超级高的一款笔记本。,1
电脑非常小巧便捷，非常好看，很喜欢，很薄很轻，外观也很好看，散热比较好，运行速度也比较快呢,1
配置和描述的不服，欺骗消费者，描述上是有局域网的，发来后没有网口,0
对iPhone没有情节，莫名的对苹果笔记本和台式有情节，或许被外表所吸引，简约美，13.3英寸大小质量很完美，出差方便携带，另外无广告弹窗真的真的太棒啦！,1
刚买没几天降价200，醉了,0
外形外观：铝合金边框很有质感，待机时间：确实比12长一些，运行速度：一如既往表现良好，其他特色：一如既往的需要小心别掉地上，摔碎几率100%?,1
信号差得一比??不知道是不是翻新机，早知道就买华为了,0
使用10天接打电话听不到声音,0
给弟弟们买的 ，专业不是用电脑很强的，所以这个档次这个配置的电脑选小新air是可以的。之前也买了一台，这个都是买的第2台了。非常喜欢它的颜值，按键这些也很舒服，画面的话可以自我调节，功能比较齐全，性价比比较高。散热的话还行，如果不玩游戏的话。至于联想充电的像砖块那里好像很容易发烫。,1
人工智能不行，无法解决问题。不知道怎么弄，哎！,0
手机本身没问题，但是刚买4天就降价！！,0
选的粉色的，颜色很漂亮，机子比较轻薄，使用很轻便，客服态度很好，帮助做了office激活还有分区，好评,1
618活动果然很给力，12期免息分期，想要的颜色，款式都有货，到货也快，开箱很幸福！,1
刚收到货 开机有异响  差评 差评  差评,0
电脑是1080p分辨率，打游戏很爽，剪辑pr、AE、AU等软件都不在话下，全面窄边屏设计简约、正面只有一个AMD的锐龙贴纸、霸气好看、搭配英伟达RTX3050显卡、玩主流游戏、绝地求生，地铁离去、赛的朋克、英雄联盟等绰绰有余昂，运行速度：很快，屏幕效果：色彩很高，散热性能：不会感到明显的烫、玩游戏多了会温温的，外形外观：简约耐看大气，轻薄程度：挺轻薄的、方便出门,1
包装里面都是灰，我都不知道是不是后封机器！,0
物流速度很快，昨天下午5点多下单，今天12点左右就收到货了！包装也挺好的！，我已经开机试过了，挺流畅的，打游戏也不怎么发烫！，这个价位，我对比了好几款笔记本，性价比最高的就是这款！,1
打开快递 电脑屏幕全是灰擦过的印记 可能是把样机给我发来了 屏幕连个出厂保护膜都没有 嫌麻烦懒得换了,0
电脑很好看，颜值很高，配置很好，非常喜欢。,1
超级好看 好用，运行速度：快，屏幕效果：棒棒哒，散热性能：很好,1
用了两天之后来评价，整体表现让人满意。屏幕亮度和色彩对于个人来说非常满意；显卡玩一玩一般的网游完全没问题，至于大型游戏还没有尝试；外观和全键盘是最让我心动的地方，全键盘真的超级好！美中不足的是网线接口，第一次插拔实在太紧了，有一种要崩断的感觉，具体可以看图，希望可以改进。整体上还是很不错的！,1
包装很用心，不会担心运输过程中损坏，整体看起来很有质感，具体性能的话不用多说了，颜值也很高，非常不错的产品，这一波粉了。,1
电量跑得快，和苹果11比，还没11好，第一次在网上买，我后悔了,0
运行速度非常快，屏幕显示完美，散热无敌，外观看着很舒服也轻便，续航也超级给力，真的太棒了,1
垃圾的很，买了不到三个月，指纹解锁就用不了了，还要求现在其他APP才可以重新用指纹解锁，真的是服了这么垃圾的东西,0
华为，中华有为，必须无条件支持国产，显示特别好，配置也不错，外观也漂亮，可耐，家用，办公都杠杠滴。女生第一次挑这种小电器，闭眼挑华为，不会失望。。。,1
运行速度：不错。很快。不过话说回来我还没有用到性能极致。，屏幕效果：很不错。看着很舒服，看多了都不想看公司配的显示器了，散热性能：自带的浏览器很不错，看****也不怎么产热。，轻薄程度：16寸的确实沉一些。不经常背来背去的话还是不错的。屏幕大，看着舒服。,1
运行速度：开机速度很快，运行速度很快，，屏幕效果：非常清晰，，外形外观：尺寸刚好，很适合休闲娱乐办公非常轻巧方便携带,1
看了很多款，最终在跟小新pro16之间选择了它，外观好看，做工精致，金属外壳很有质感，本子比较薄，单手能开盖，右侧小键盘很好使，内部还预留了一个M2硬盘接口可以供以后升级用，接口丰富，有个隐藏式USB接口设计很赞！屏幕清晰，音质还可以，给京东点赞！,1
2021.11.29日下单，1、关机时，开始菜单&mdash;电源   经常出现第一次点鼠标没反应，第二次才弹出关机重启睡眠选项；，2、正在编辑一个文档，光标有时候会自动消失；，3、f5  f6调节屏幕亮度快捷按键突然不好用了。，个人感觉本次体验不是很好,0
包装破损，退款速度非常忙。,0
包装精美，做工大气，物流神速，时隔多年又重新成为一个果粉，还是简洁大气的设计，恰到大小的尺寸，拿在手里刚好，使用也非常顺畅，网购首选京东，点赞,1
才买4天手机就动不了了,0
因为原手机镜头坏了，第一次尝试苹果。，机型很小巧精致，适合小手的女孩子，因为想搭配手机壳就选了白色，也很简洁干净呢，外形外观：好看精致，屏幕音效：很有立体感，拍照效果：清晰真实，运行速度：屏幕很流畅，待机时间：很耐用,1
电脑很好，疫情期间能第一时间送到非常棒了，很感恩。客服11号小姐姐耐心解答各种问题，点赞了！！,1
电脑颜值很高，正面银粉色，键盘银色，颜值很高，颜色很适合女生，男生也可以用，赠送的鼠标很好用，还有电脑包，鼠标垫，价格很划算了，目前使用起来还不错，一点不卡，自带的ppt等office软件很好用，带ps也不在话下，很不错的一款。,1
第一次收到的产品屏幕出现小黑点，小坏点，第二次充电滋滋滋的声音非常大,0
之前使用的是iphone7，用了4年多，2G运存有点小了，而且手头有2张电话卡，需要双卡双待手机，就在双十一活动时入手了12，人脸解锁非常快速，多开app也不会卡，双卡体验很赞。对我来说magesafe是比较新鲜的体验，还特意买了其它的配件，体验非常棒，无线充电果然方便，不用被线束缚的感觉真好！,1
运行速度：可以，屏幕效果：可以，散热性能：可以，外形外观：很酷，轻薄程度：可以,1
颜值无可挑剔，身材精巧轻薄，金属键盘也非常有气质，用一天也不热，综合性能优良，价格公道，值得入手,1
还不错的。挺轻又很薄。我觉得这个电脑比我之前用的联想好多了。能玩游戏。还能办公，华为有一个商店，办公很干净，弄完了之后还能还原。喜欢这个电脑，以后我还要从iPhone12换成华为手机！,1
刚买的电脑保修不是两年吗   怎么显示580天   而且硬盘使用过52次   这是怎么了   翻车了吗,0
送货速度挺快的，没的说，电脑手感也好，键盘很人性化，外观大气,1
电脑等了很久才有货，终于收到了，很好，物流也很快，外观满满的金属质感，很漂亮，大小适中，轻薄本，携带很方便，分辨率高，画质很清晰，接口也多，完全够用，质量不错，一直到现在都没有出现过什么问题,1
超乎完美的手机，简直太轻了，紫色超级好看了，非常流畅，爱了爱了，不再13香啦。哈哈。,1
外形外观：13真香，三个大摄像头，，屏幕音效：完爆13，买了13，退了换的pro，性价比超高，拍照效果：八倍镜的感觉，运行速度：很快，不发烫，，待机时间：刷一个小时抖音，电量少了15，很耐用,1
刚拿到手，非常满意！学习和游戏的好帮手！铝合金金属机身，AMD R7 5800H 处理器与英伟达 GeForce RTX 3050 显卡，搭配 16GB DDR4 3200MHz 双通道内存和 512GB 固态硬盘，采用 16.1 英寸 1080P 144Hz 屏幕，更能兼顾游戏等使用场景。HDMI 以及两个 USB-C，两个 USB-A 和 3.5mm 二合一音频接口，多屏联动的优化，MagicBook 16 Pro 不仅可以连接荣耀手机，同时打开多个软件，还可以连接荣耀平板、智慧屏，实现无线画面输出。，运行速度：快，屏幕效果：细腻靓丽，外形外观：轻薄靓仔，轻薄程度：轻薄，其他特色：游戏学习好帮手,1
翻车了，镜头有划痕，包装盒里有异物，卡片顺序也不对，妥妥的后封机没得跑了,0
第一次觉得京东服务这么差，还每年买plus会员，该返的京豆没有返，刚开始说重新返，后来又说没法返。,0
垃圾电脑 一周内频繁降价 想买的通知时时关注价保吧 客服只能回答当前的问题 降价证明一律不予接受 一问三不知 购买体验很差 这个价格建议添点选择无论是性能外观便捷程度更佳的apple 京东客服态度很好,0
运行速度：更快，运行也没有声音，屏幕效果：颜色很清晰，散热性能：散热也不错，外形外观：商务本的干净简单，轻薄程度：挺轻薄的，一手拿不是问题,1
外观无损比较高级，运行也不卡顿，客服态度很好总体来说很满意，比较推荐。，运行速度：好，屏幕效果：清晰，散热性能：较好，外形外观：高级，轻薄程度：很轻薄,1
买了几天就降价了，关键是本来想买银色的，结果价格贵了几百块，逼不得已买了灰色。等系统激活了银色价格和灰色一样，还便宜了100元，太坑了。差评,0
买来就有的磕碰 激活才发现 退不了了 认了 各位买的的时候都好好看仔细再激活。京东自营不是官方的 官方只有**有 避雷,0
本本给力，入手后就爱不释手，终于拥有了第一个mac本，虽然是14寸底配 已经可以满足我的需求了。很满意。优秀呀优秀,1
购物体验很差，这个是换机后的，第一次用华为产品，买了不到半个月，用了不到一星期，中间两天没用，开不了机了，服了，拿去检修说可能是返修机，气死人，希望这个能多用几天。,0
这才买了几天，就优惠了400块，很不爽！！,0
无语了，十天降价七百块,0
真是的 又降价了200估计618还能降 热了狗,0
外形外观：靓，屏幕音效：好，拍照效果：好，运行速度：快，待机时间：长，其他特色：整体使用很满意。,1
颜值派，日常办公非常可，可以就可以安装，用起来流畅，连接网络也不卡。，运行速度：快，屏幕效果：很舒适，散热性能：到现在还是没有发热现象哦，外形外观：没的说，肯定是始于颜值,1
踩坑了，两次都是问题机！,0
看和摸起来都很有质感，开机和关机速度挺快的，反应也很快，还没怎么重度使用，初步感觉还不错。屏幕清晰，色彩鲜艳，1080P只要不刻意去看细小的字体不会有明显的锯齿感。,1
配置高，颜值高，手感很好，屏幕也特别清晰，还有好多，快捷键开关性能模式，超级方便，正品行货，非常满意的一次购物，联想给力！！！,1
屏幕瑕疵，各位考虑清楚,0
终于到了，迫不及待的打开，摸上去冰冰凉凉的金属感，很薄很轻，整机尺寸比旁边的15.6的thinkpad小一丢丢，其实屏幕还大一点点，很好很好,1
使用还不错，配置很高了，散热性能：还可以吧，屏幕效果：2.8k，外形外观：好漂亮,1
打个LOL贼烫，手贴上去瞬间就受不了，也不知道主板会不会烧坏,0
外形外观：简直不要太棒，颜色超喜欢，屏幕音效：音效没得说，真心好，屏幕的话我这眼神看不出来，拍照效果：太真实了我只能说，后来iOS15的人像模式太爱了吧，运行速度：也感受不到，只能说比安卓丝滑，手感超好,1
质量特别不好，没用多久居然卡机了,0
买完就降价，不知道什么套路，电量消耗快,0
打电话怎么自动挂电话,0
电脑充电烫手打了七八个电话，到现在还没解决也没有人回复,0
